docid	Dominant_Topic	author	orig_title	Topic_Perc_Contrib	date
mdp.39015034009566	13	clyde edgerton	Redeye : a western	0.1554	1995
mdp.39015018331069	35	john weir	The irreversible decline of Eddie Socket : a novel	0.0619	1989
mdp.39015019786014	23	paul bowles	Up above the world : a novel	0.1231	1966
mdp.39015037828038	39	thomas thompson	Celebrity	0.0946	1982
uc1.32106005169971	43	lawrence block	Burglars can't be choosers	0.1029	1977
mdp.39015064884219	34	m. evelina galang	One tribe : a novel	0.0683	2006
mdp.39015028872961	26	julie baumgold	Creatures of habit : a novel	0.0721	1993
mdp.39015016450911	58	don berry	Moontrap, a novel	0.1008	1962
mdp.39015038016047	13	diane glancy	Pushing the bear : a novel of the Trail of Tears	0.109	1996
uc1.32106005237190	3	amos oz	Where the jackals howl, and other stories	0.0578	1981
uc1.b3209732	73	janet lewis	Against a darkening sky	0.0429	1943
uc1.32106011426183	3	achy obejas	Days of awe	0.1088	2001
mdp.39015020769652	72	manuchehr irani	King of the benighted	0.1229	1990
pst.000005341795	36	paula batchelor	If this be virtue	0.0454	1956
uc1.b4089209	67	lucille fletcher	The daughters of Jasper Clay	0.0693	1958
uc1.b3768570	77	"elie wiesel
marion wiesel"	The oath	0.1784	1973
uc1.b4099792	68	margaret campbell barnes	Mary of Carisbrooke	0.0918	1955
mdp.49015001010801	61	patrick white	The vivisector	0.1033	1970
uc1.b4439341	78	john ehle	The winter people	0.0577	1982
mdp.39015020741586	27	richard ford	The sportswriter	0.0727	1986
mdp.39015031223855	18	phyllis bentley	Freedom farewell! By Phyllis Bentley	0.0747	1936
mdp.39015015507893	74	j bernlef	Out of mind	0.0853	1988
uc1.$b104416	76	marie a muir	Dear Mrs. Boswell	0.06	1953
mdp.39015018510068	25	kelly cherry	My life and Dr. Joyce Brothers : a novel in stories	0.0595	1990
inu.32000001295536	32	leonard cohen	The favorite game, a novel	0.2759	1963
mdp.39015053407618	40	charlie boxer	The cloud of dust	0.0907	2000
mdp.39015019399610	3	lorrie moore	Like life : stories	0.0936	1990
uc1.b4421414	26	william brashler	Traders	0.1163	1989
uc1.b4975931	58	janet kauffman	Collaborators	0.1164	1986
mdp.39015047067874	25	diane glancy	Flutie : a novel	0.1321	1998
coo.31924105504561	19	nadine gordimer	The pickup	0.0494	2002
pst.000033009544	31	walter lord	A night to remember	0.0689	1955
mdp.39015025257653	40	larry levis	Black freckles	0.0722	1992
uc1.32106009584944	75	anne rice	The witching hour : a novel of the supernatural	0.1793	1990
mdp.39015030706074	31	john masefield	The bird of dawning; or, The fortune of the sea	0.1803	1933
mdp.39015064863791	60	bobbie ann mason	Nancy Culpepper : stories	0.0473	2006
mdp.39015008654223	33	rebecca west	The fountain overflows : a novel	0.045	1956
mdp.49015001304501	43	frances fyfield	Deep sleep	0.0574	1991
mdp.39015009037733	77	cyrus sulzberger	My brother death	0.1294	1961
uc1.$b106069	18	rose wilder lane	Free land	0.0782	1938
uc1.$b56382	42	e h clements	Perhaps a little danger	0.0502	1942
uc1.32106012999584	69	kw jeter	Blade Runner 2 : the edge of human	0.0443	1995
mdp.39015030946985	61	paul darcy boles	The limner	0.1322	1975
uc1.$b63881	18	frank waters	The dust within the rock	0.0354	1940
mdp.49015000679549	23	steve erickson	Rubicon Beach	0.0944	1986
mdp.39015028932146	24	lilian lee	The last princess of Manchuria	0.0601	1992
mdp.39015042553019	53	ted heller	Slab rat : a novel	0.0865	2000
mdp.39015002755174	26	thomas savage	Her side of it	0.0562	1981
uc1.32106006704339	64	gayle james hudson rivers	The five fingers	0.0936	1978
mdp.39015040370853	71	luis humberto crosthwaite	The moon will forever be a distant love	0.0594	1997
uc1.32106002164264	44	forrest carter	Gone to Texas	0.0783	1973
uc1.b3467241	13	ennio flaiano	The short cut	0.0709	1950
mdp.39015040991344	28	steve martini	The list	0.1019	1997
mdp.39015046831361	31	paul theroux	The Mosquito Coast : a novel	0.0804	1982
uc1.32106011785406	76	richard russo	Nobody's fool	0.0927	1993
uc1.b3727146	44	george byram	Tomorrow's hidden season	0.105	1964
mdp.39015029984559	34	mary grimm	Left to themselves	0.0588	1993
uc1.b4437982	26	andrew m greeley	Saint Valentine's night	0.0613	1989
mdp.39015013092948	57	robert hemenway	The girl who sang with the Beatles, and other stories	0.0712	1970
mdp.39015062627040	6	scott turow	Ordinary heroes	0.1046	2005
uc1.32106015190900	70	olaf olafsson	The journey home	0.0632	2000
uc1.32106018078771	44	william haywood henderson	Native	0.0442	1993
pst.000043980628	74	erik christian haugaard	The little fishes	0.0751	1967
mdp.39015063926722	52	booth tarkington	Little Orvie	0.0425	1934
uc1.b3688282	56	john hersey	Too far to walk	0.1026	1966
uc1.b3451736	68	elizabeth linington	The proud man; a novel	0.1579	1955
mdp.39015033065239	75	julia alvarez	In the time of the butterflies : a novel	0.1018	1994
mdp.39015041027270	47	don winslow	The death and life of Bobby Z : a novel	0.1649	1997
uc1.32106012449234	68	angeles mastretta	Mexican bolero	0.0916	1989
uc1.b3854664	9	roderick hig brown	The tall trees fall, a novel of Pacific coast loggers	0.073	1943
mdp.39015004274372	43	joyce carol oates	The triumph of the spider monkey : a first-person confession by the maniac Bobbie Gotteson	0.0686	1976
inu.30000116726351	79	janet paisley	White rose rebel	0.0642	2007
mdp.39015014138914	7	maude hutchins	The memoirs of Maisie	0.0903	1955
mdp.39015002578675	18	caroline gordon	The forest of the South	0.0982	1945
uc1.b4432474	66	sheila bosworth bell	Almost innocent	0.1015	1984
mdp.39015018650658	75	leonard dubkin	Enchanted streets	0.113	1947
uc1.32106013921157	7	richard beard	Damascus	0.0918	1998
uc1.32106009953248	4	makota oda	The bomb	0.1108	1990
mdp.39015034513369	22	diamela eltit	The fourth world	0.1011	1995
uc1.b4950762	16	christopher knowlton	The real world	0.1123	1984
uc1.32106001997680	38	lin yutang	The red peony	0.0684	1961
uc1.b4431356	12	tom lafarge	The crimson bears	0.0728	1993
mdp.39015056309266	51	norman spinrad	The Druid king	0.0852	2003
uc1.b3752464	3	blaise cendrars	The astonished man: a novel;	0.1132	1961
mdp.39015049525721	35	nancy-gay rotstein	Shattering glass	0.079	1996
mdp.39015018820715	37	jane leavy	Squeeze play	0.1085	1990
mdp.39015030701109	52	gerald kersh	The weak and the strong	0.0644	1946
